,question,correct,options
0,Which muscle of the lower leg joint action includes ankle dorsiflextion and sub-talar joint inversion (turns the sole of the foot inwards),Tibialis anterior,"['Soleus', 'Tibialis anterior', 'Gastrocenmius', 'Fibia anterior']"
1,Which joint action can Only be done in the frontal Plane?,Adduction,"['Protraction', 'Adduction', 'Horizontal flexion', 'Extension']"
2,Which joint action can only be done in the sagittal plane?,Plantar flexion,"['Eleation', 'Plantar flexion', 'Circumduction', 'Laterial extension']"
3,Which joint action can only be done in the transverse plane?,Supination,"['Supination', 'Horizontal extension', 'Abduction', 'Laterial flexion']"
4,Hyperextension can only occur in which anatomical plane?,Sagittal,"['Laterial', 'Frontal', 'Sagittal', 'Transvese']"
5,Which anatomical movement can't occur at the shoulder (glenohumeral) joint.,Oppostion,"['Flexion', 'Oppostion', 'Rotation', 'Extension']"
6,In the muscles of the lower arm what is the prominent proximal head called at the elbow?,Oclecranon Process,"['Condyloid synovial joint', 'Oclecranon Process', 'Proxminal radioulnar joint', 'Distal Radioulnar Joint']"
7,What is the anterior groove  in the wrist and palm called?,Carpal Tunnel,"['Gliding Tunnel', 'Carpal Tunnel', 'Channel Tunnel', 'Meta Tunnel']"
8,Complete the sentence  ''The pubis symphysis has a normal seperation of 3-4mm can increase up to as much........ during pregnancy due to the hormone relaxin'',9mm,"['13mm', '7mm', '11mm', '9mm']"
9,Which joint at the knee allows movement of flexion and extension in the sagittal plane?,Hinge joint,"['Ball and socket', 'Hinge joint', 'Gliding Joint', 'Pivot Joint']"
10,Which bone of the lower leg articulates with the tibia and fibula,The talus bone,"['The talus bone', 'The Large calcaneus', 'Tarsals', 'Metatarsals']"
11,Which fascia is key in the passive system of core stability?,Thoracolumbar Fascia,"['Ligamentum Fascia', 'Posterior Fascia', 'Thoracolumbar Fascia', 'Supraspinous Fascia']"
12,Which sentence about pelvic floor benefits is FALSE.,Inflexible to counteract changes in abdominal pressure,"['Support for the organs of the pelvis and abdominal contents', 'Inflexible to counteract changes in abdominal pressure', 'Stability of the pelvic girdle', 'Continence control of urine and faeces']"
13,Which statement about the ability to maintain a neutral spine is FALSE.,To promote DOMS after excerising.,"['Prevention of joint and ligament damage within the vertebral column', 'To promote DOMS after excerising.', 'The transmission of stressors through the pelvis, caused by impact.', 'Performing weight-breaing excerises with biomechanical efficiency']"
14,Which excerise is not used to improve core stability?,Bicep curls,"['Supine lying abdominals', 'Bicep curls', 'Prone flying abdominals/plank', 'Four-point balances.']"
15,"What common muscle imbalance can develop, leading to insufficient core stabilisation?",Dominant muscles tighten and weaker muscles lengthen,"['Dominant muscles tighten and weaker muscles lengthen', 'Dominant and weaker muscles both lengthen', 'Dominant and weaker muscles both tighten', 'Dominant muscles lengthen and weaker muscles tighten']"
16,"During the eccentric phase of a press up, what movement occurs at the scapula? ",Retraction,"['Protraction', 'Pronation', 'Elevation', 'Retraction']"
17,Which ligament is most prone to Hyper extension?,Anterior Longitudinal Ligament,"['Supraspinous Ligament', 'Anterior Longitudinal Ligament', 'Interspinous ligament', 'Posterior longitudinal ligament']"
18,What does the Pancreas control?,Controls Blood sugar levels,"['Controls Blood sugar levels', 'Controls growth in children and young adults', 'Controls of carbohydrates,fats and protein metabolism', 'Controls levels of blood calcium']"
19,Which hormone is NOT produced by the Adrenals,Progesterone,"['Noradrenaline', 'Adrenaline', 'Corticosteroids', 'Progesterone']"
20,Which hormone is NOT produced by the Male/female reproductive system?,Growth hormone,"['Progesterone', 'Oestrogen', 'Growth hormone', 'Testosterone']"
21,Which Statement is True Regarding ATP-PC system?,Improving Strength/power and speed,"['Increases Myoglobin', 'Overloading the system causing large amounts of lactic acid to be produced', ""Increases aerobic energy stores of muscle glycogen and triglyceride's increasing the aerobic threshold."", 'Improving Strength/power and speed']"
22,Which method is NOT used in training using the ATP-PC System,Cycling,"['Short sprint interval training', 'Running up hills', 'Cycling', 'High weights-low reps']"
23,Which method of training does NOT use the lactic Acid System,Long Distance running,"['Long Distance running', 'Short recovery', 'Repeated bouts of excerise at moderate to high intensity', 'Programmes lasting several months']"
24,Which method of training is NOT used working the aerobic energy system?,Jogging,"['Swimming', 'Long distance running', 'Cycling', 'Jogging']"
25,Which statement about the ATP-PC system is FALSE,"It is quickly exhausted, lasting up to only 45 seconds","['It is quickly exhausted, lasting up to only 45 seconds', 'ATP has to be re-synthesised', 'Limited supply of ATP', 'It requires relatively long recover/replenishment time, 3-5 minutes to restore to 100%.']"
26,If picking up a pen to do handwriting how many muscle fibres need to be recruited?,A small amount of fibres recruited fully,"['A large amount of fibres recruited fully', 'A small amount of fibres recruited fully', 'A large amount of fibres recruited partially', 'A small amount of fibres recruited partially']"
27,The sequence of nervous system activity can be described as?,Afferent nerve > CNS > Efferent nerve,"['CNS > Spinal cord > Efferent nerve', 'CNS > Spinal cord > Afferent nerve', 'Efferent nerve > CNS > Afferent nerve', 'Afferent nerve > CNS > Efferent nerve']"
28,Which membrane is connected between the Fibula and Tibia?,Interosseous fibrous membrane,"['Interosseous fibrous membrane', 'Menisci membrane', 'ACL Membrane', 'Fermoral Condyle membrane']"
29,How Many ribs does the Scapulae  partially cover the back,6,"['6', '5', '7', '4']"
30,How many bones make up the Entire Spinal Column,33,"['33', '35', '32', '34']"
31,What is another term known for the Left AV Valve?,Mitral Valve,"['Pulmonary Valve', 'Mitral Valve', 'Aortic Valve', 'Tricuspid Valve']"
32,What happens during someone who is under the Valsalva effect?,Blood pressure Increases,"['Blood pressure decreases', 'Heart rate decreases', 'Blood pressure Increases', 'Heart rate remains the same.']"
33,Which structure has the appearance of a Double sided golf club?,Myosin,"['Fasicle', 'Sacromere', 'Myosin', 'Actin']"
34,Which structure has the appearance of two pearl necklaces?,Actin,"['Actin', 'Myosin', 'Sarcolemma', 'Sacromere']"
35,What structure does myosin form when interacting with Actin in the sliding filment theory?,Cross-bridge attachment,"['Rectangular attachment', 'Cross-bridge attachment', 'Triangular attachment', 'Suspension-bridge attachment']"
36,How many Adeonsine triphosphate molecules are used up every time a myosin head pivots and pulls on an actin filament?,1,"['600-20000', '1', '100-600', '20000-100000']"
37,Aerobic generation of ATP can only take place inside which structure?,Mitochondria,"['Myoglobin', 'Mitochondria', 'Tendons', 'Sacromere']"
38,Which statement is true about Type 2A Muscle fibres?,"Oxygen Intake Low, Fatigue Rate Fast, Colour White, Firing threshold High.","['Oxygen Intake Low, Fatigue Rate Fast, Colour White, Firing threshold Low', 'Oxygen Intake Low, Fatigue Rate Fast, Colour White, Firing threshold High.', 'Oxygen Intake Low, Fatigue Rate Fast, Colour Red, Firing threshold High.', 'Oxygen Intake High, Fatigue Rate Fast, Colour White, Firing threshold High.']"
39,What is Hyperplasia?,The splitting of individual fibres (cells) to make more fibres (cells),"['The splitting of individual fibres (cells) to make more fibres (cells)', 'The splitting of individual veins to make more veins', 'The splitting of individual tendons to make more tendons', 'The splitting of individual arteries to make more arteries']"
40,Which statement about muscles is FALSE,Muscles Push,"['Muscles Push', 'Muscles create an action at the joint(s) they cross', 'Muscles work in pairs', 'Muscles Pull']"
41,Which excerises is NOT done in the frontal plane,Bicep Curl,"['Laterial raises', 'Standing hip adduction', 'Side Bends', 'Bicep Curl']"
42,Which statement about the movements of the shoulder joint is true?,Flexion/Extension/Rotation/Circumduction,"['Inversion/Extension/Rotation/Circumduction', 'Flexion/Extension/Rotation/Circumduction', 'Flexion/Extension/ProtractionCircumduction', 'Flexion/Retraction/Rotation/Circumduction']"
43,Which factor does NOT contribute to spinal abnormalities or poor posture,Thinking,"['Lifestyle', 'Ageing', 'Heredity', 'Thinking']"
